,F,N,Plate-IFU,g,i,r,u,z
347,0.415649,1.62926,b'10505-9102',126.904,353.966,248.543,27.1998,431.432
348,7.02315,13.8525,b'10506-12701',96.2679,203.465,156.542,47.3912,207.322
349,22.5202,36.0068,b'10506-12702',674.709,1545.95,1096.37,181.774,1935.28
350,61.3678,76.7222,b'10506-12703',436.782,793.432,622.564,187.736,818.895
351,69.1565,106.934,b'10506-12704',412.317,613.143,516.86,202.017,588.722
352,18.3328,24.4038,b'10506-12705',177.827,394.161,244.514,73.7735,394.483
353,4.35916,6.68878,b'10506-1901',112.969,314.652,219.046,29.3383,405.574
354,-0.00296242,0.012168,b'10506-1902',184.796,420.283,318.807,132.169,599.05
355,1.86276,8.00731,b'10506-3701',631.895,1783.05,1255.36,203.375,2189.21
356,2.91514,4.40445,b'10506-3702',705.498,2285.23,1513.81,151.141,2832.21
357,56.4972,78.4566,b'10506-3703',350.36,571.893,483.557,148.694,599.622
358,0.505788,1.87097,b'10506-3704',89.9115,244.815,179.843,41.4886,304.088
359,6.94216,20.4635,b'10506-6101',647.023,1914.61,1298.61,152.364,2322.39
360,12.9119,20.6846,b'10506-6102',252.697,561.526,429.244,80.8721,766.35
361,0.708805,5.983,b'10506-6103',511.778,1433.89,983.385,143.699,1792.06
362,24.6675,30.8759,b'10506-6104',198.4,374.451,299.004,76.6051,417.371
363,76.1525,99.1139,b'10506-9101',903.756,2056.43,1514.86,320.066,2512.45
364,5.80247,9.60244,b'10506-9102',171.411,503.69,318.302,35.9529,589.589
365,46.5979,54.9378,b'10507-12701',691.234,1895.62,1398.13,217.246,2191.78
366,0.0,0.0,b'10507-12702',143.883,232.447,196.248,72.313,345.399
367,15.4899,20.1548,b'10507-12703',272.416,806.771,464.854,104.591,1073.78
368,4.80459,8.10053,b'10507-12704',296.312,906.304,585.443,103.224,1143.05
369,27.6339,36.6576,b'10507-12705',313.942,875.088,566.864,93.9761,1033.91
370,5.30243,13.7171,b'10507-1901',295.949,650.765,493.309,77.177,787.233
371,2.98517,5.43834,b'10507-3701',364.752,1257.3,799.049,78.7991,1570.12
372,0.0,0.0,b'10507-3702',239.246,670.761,477.825,82.6556,885.236
373,1.00535,7.86607,b'10507-3703',720.977,2121.0,1455.52,178.96,2428.22
374,77.933,94.8792,b'10507-3704',549.066,1012.5,822.266,230.457,1249.25
375,4.818,22.2169,b'10507-6101',1500.27,4171.79,2947.57,329.26,5209.24
376,55.5449,75.5118,b'10507-6102',525.127,1033.47,768.8,192.868,1124.93
377,5.98636,7.82169,b'10507-6103',289.01,901.922,591.581,69.0091,1025.9
378,13.9559,30.3061,b'10507-6104',1861.62,6066.86,4035.28,407.94,7691.81
379,62.4824,82.165,b'10507-9101',544.107,1010.53,821.305,200.822,1045.75
380,51.5434,90.9732,b'10507-9102',1449.53,3904.87,2715.04,380.351,4865.87
381,65.3835,99.527,b'10508-12701',540.406,1026.99,787.255,235.89,1087.67
382,35.7385,57.9053,b'10508-12702',857.861,2272.58,1481.63,264.969,2630.09
383,41.3592,70.4007,b'10508-12703',870.314,2308.78,1580.33,286.901,2829.16
384,31.7467,47.2061,b'10508-12704',354.469,1132.61,536.832,140.01,817.911
385,11.7558,16.9594,b'10508-12705',286.618,839.371,587.687,80.5405,1002.43
386,19.3374,29.2757,b'10508-1901',182.157,332.768,274.934,75.6364,390.128
387,11.0819,15.5215,b'10508-1902',288.363,927.765,597.259,133.551,991.921
388,0.931018,1.3067,b'10508-3701',239.88,855.636,570.465,54.0601,1131.9
389,9.05163,14.8661,b'10508-3703',1556.64,4780.49,3284.94,319.587,6226.79
390,2.06258,4.12383,b'10508-3704',271.834,813.698,575.131,67.0109,1066.62
391,0.599697,1.48846,b'10508-6102',428.942,1468.82,949.873,70.3387,1912.13
392,26.3769,49.8636,b'10508-6103',445.725,1232.1,794.87,147.996,1464.78
393,17.1653,26.8515,b'10508-6104',299.039,780.71,543.169,107.486,952.093
394,2.53977,2.40485,b'10508-9101',896.0,3028.99,1983.06,167.463,3890.37
395,0.0681285,1.38283,b'10508-9102',105.698,432.159,277.308,23.7737,570.271
396,61.414,108.831,b'10509-12701',806.937,1532.97,1167.93,282.611,2583.51
397,27.4492,52.9878,b'10509-12702',1034.77,3060.72,2040.77,269.551,3852.99
398,-3.95402,4.86514,b'10509-12704',374.14,1593.89,921.667,165.51,1994.71
399,7.73335,15.4061,b'10509-12705',328.013,933.886,645.9,78.999,1057.78
400,18.151,38.6546,b'10509-1901',397.97,946.66,692.125,134.35,1136.71
