Plate-IFU,extinction
10217-1902,-0.8280553070617716
10217-3701,0.43154804175367567
10217-3702,0.2174144447064696
10217-3703,0.3327161354897468
10217-3704,0.30713830370907147
10217-6101,0.1495322924888286
10217-6102,-0.21820312374566947
10217-6103,0.40682618771685997
10217-6104,-0.7306976522600965
10217-9101,0.26810383383236164
10217-9102,0.13569456685192324
10218-12701,0.28171951267566586
10218-12702,0.19431983177903497
10218-12703,0.4617608178228509
10218-12704,0.10507578998793977
10218-12705,0.06455302418335324
10218-1901,0.18427578005989836
10218-1902,0.6239066549209451
10218-3701,0.42742523568758334
10218-3702,-0.2439480370325424
10218-3703,0.2887251402675933
10218-3704,0.43446660039039786
10218-6101,-1.4927396622191933
10218-6102,0.28914506015339064
10218-6103,0.1628980716279
10218-6104,0.5010286184437062
10218-9101,0.12533445814889585
10218-9102,0.10173763078318449
10219-12701,0.1296559933169101
10219-12702,0.23308974892775497
10219-12703,0.2857125912888316
10219-12704,0.15399230795395666
10219-12705,0.16500024089565687
10219-1901,-0.9379450213751244
10219-1902,-1.8746106631742359
10219-3701,-0.9930715542323338
10219-3702,-0.5791461288136107
10219-3703,-0.4907441588083989
10219-3704,-1.0015326913077989
10219-6101,-1.4295081820481108
10219-6103,0.2843010945507169
10219-6104,0.170830474720582
10219-9101,0.0565356954916462
10219-9102,0.2969440491905151
10220-12701,0.368680073015838
10220-12702,0.4737157049387166
10220-12703,-0.37144645116079134
10220-12704,0.18947505401353856
10220-12705,0.3050821929942626
10220-1901,0.05253747609820299
10220-1902,-0.045612693586111044
10220-3701,0.3935942778394095
10220-3702,0.2984694294403512
10220-3704,-0.10017752450956613
10220-6101,-0.36263730189948107
10220-6102,0.009100736548670527
10220-6103,0.35804781333951563
10220-9101,0.1642205872098851
10220-9102,0.08591176634481151
10221-12701,0.3392084963410924
10221-12702,0.050478854787419425
10221-12703,0.04035196640014519
10221-12704,-0.12686011335862524
10221-12705,0.02477684332425777
10221-1902,0.28275975617038385
10221-3701,0.044969970756261315
10221-3702,-0.24850808970575344
10221-3703,0.02696304799456387
10221-3704,0.17293787771542926
10221-6101,0.15386390643738693
10221-6102,0.31445473573669896
10221-6103,0.2580618010477907
10221-6104,0.44833818391233066
10221-9101,0.23530370704972983
10492-12701,0.2783921355025279
10492-12702,0.21769539834633686
10492-12703,0.20070400665479687
10492-12704,0.2444291628964387
10492-12705,0.23151487721494413
10492-1901,0.08105245849776575
10492-1902,0.40666075398630536
10492-3701,-0.9447477239618917
10492-3702,-0.7278318691923886
10492-3703,-0.10747716689317324
10492-3704,0.2798957758664379
10492-6101,-0.16888711084025956
10492-6102,0.2553696810994149
10492-6103,0.6713518742563579
10492-6104,0.2899895730897034
10492-9101,0.4339527414340106
10492-9102,0.18985449337590973
10493-12701,0.4240300172461598
10493-12702,0.21700054147352496
10493-12703,0.02299323993689146
10493-12704,0.15819226000383607
10493-12705,0.12848090776100624
10493-1901,-0.31032378952286754
10493-1902,0.1709694680440318
10493-3702,-0.37596856671549705
10493-3703,-0.59526929268198
10493-3704,0.4134833249699058
10493-6101,-1.3079223825585207
10493-6102,-0.043351859371744086
10493-6103,-1.688004837011174
10493-6104,0.19516052155277588
10493-9101,0.2197592998823122
10493-9102,0.08503374002768486
10494-12703,-0.3894579440955307
10494-12704,-0.41394285221449983
10494-12705,0.23090230939318399
10494-1901,-0.0860537217337061
10494-1902,0.9403858637090832
10494-3701,0.3100949000096553
10494-3702,-0.041408884942415375
10494-3703,-0.7826494065166671
10494-3704,0.32129441122410046
10494-6102,-0.45192318726755376
10494-6103,-1.6649809359547905
10494-6104,-0.9373423359875437
10494-9101,9.26771959516206
10494-9102,0.37019820886008564
10495-12701,0.23041552111002753
10495-12702,-0.7738276484559823
10495-12703,0.012595392432860536
10495-12704,-0.01065152929351313
10495-12705,0.3954437783902531
10495-1901,0.37753291364966085
10495-1902,-0.7144780626869797
10495-3701,0.046921745170725615
10495-3702,0.23586089383818432
10495-3703,-0.8794705101079607
10495-3704,-0.6525114827042136
10495-6101,-0.3344567164353619
10495-6102,0.010331706435072039
10495-6103,0.3287649422234187
10495-6104,-1.5956876180181316
10495-9102,-0.439040845530531
10496-12701,0.43338628682255714
10496-12702,0.3502758318262695
10496-12703,0.465377425603994
10496-12705,0.30263467622564505
10496-1901,0.14174971223614238
10496-1902,-0.338506840714937
10496-3701,-1.6019105633701687
10496-3702,0.18202276350358323
10496-3703,-0.7913345584192506
10496-3704,-0.14025649881077917
10496-6101,0.3627138547874629
10496-6102,0.18148036776628187
10496-6103,0.0826692975134493
10496-9101,-0.977169752050394
10496-9102,0.1553831451791793
10497-12701,-0.013285057811014897
10497-12702,-0.2377208357832551
10497-12703,0.11391889613782175
10497-12704,-1.3280466089003258
10497-12705,0.18861372845721194
10497-1901,0.10464064358004235
10497-1902,0.21377176960976502
10497-3701,0.14256452865150562
10497-3703,0.16521699960081962
10497-3704,0.12008878459563868
10497-6101,0.40503620901596543
10497-6102,-1.1381588265617373
10497-6103,0.12290980357806124
10497-6104,0.18443038234734221
10497-9101,-0.7301933729002278
10497-9102,0.3093992931002764
10498-12701,0.13147386536757777
10498-12702,0.10443402116343745
10498-12703,-0.5668421523464717
10498-12704,0.16084462281114215
10498-12705,0.26855103543835207
10498-1902,0.3886284686175755
10498-3702,-0.26144677716668324
10498-3703,-22.18394198474767
10498-3704,0.2420306994863987
10498-6101,0.7702369237010875
10498-6102,-0.8916835336877048
10498-6103,-0.3491215899574873
10498-6104,0.2516736328765832
10498-9101,0.4050597850466471
10498-9102,-0.358845054358782
10499-12701,0.0877900122900501
10499-12702,-0.9470928892088785
10499-12704,0.2859988663332034
10499-12705,0.1647820776946141
10499-1901,0.09450369078539483
10499-1902,0.2718761676589514
10499-3702,0.48457302773799504
10499-3703,0.3962791717481445
10499-3704,0.44278440035377337
10499-6101,-1.3475155582949614
10499-6102,0.09064486330413023
10499-6103,0.15324431333483624
10499-6104,-0.15506419789041523
10499-9101,-1.3968756243182034
10499-9102,0.2314440160546445
10500-12701,0.25050101800164676
10500-12702,0.20908136358731813
10500-12704,0.32146233938878477
10500-12705,-0.624437943426584
10500-1901,0.38411595346258987
10500-1902,-0.26994105957792847
10500-3701,-0.010704763830740956
10500-3702,0.34125209922490535
10500-3703,0.33084488633014
10500-3704,0.1335238407578527
10500-6101,0.5487600791520715
10500-6102,0.07817614948836907
10500-6103,-0.5566977343678534
10500-6104,0.30625262245437634
10500-9101,-0.9265879253132918
10500-9102,0.3105598338916758
10503-12701,0.11641788075261425
10503-12702,0.40239776679565714
10503-12703,0.5925346928412973
10503-12704,0.2639642069827947
10503-12705,-0.7119527842004156
10503-1901,0.007283348689569464
10503-1902,0.45178058240756575
10503-3701,-1.22737472208902
10503-3702,-0.5560387319831841
10503-3703,0.3426173166650979
10503-3704,-0.5803998355721769
10503-6101,-1.071139173188903
10503-6102,0.24401136935037265
10503-6103,-0.11850800390355627
10503-6104,0.17351242549758708
10503-9101,999.0
10503-9102,0.19943884208311022
10504-12701,0.1686584834191391
10504-12702,-1.109354521977338
