Plate-IFU,extinction,ha_6564,ha_6564c,l_ha,l_hac
9092-12705,999.0,0.0,999.0,999.0,999.0
9092-1901,0.29640129531562814,4.6582656860351565e-15,9.137588869338268e-15,1.3189151208071309e+40,2.5871654688178343e+40
9092-1902,0.37655115466505135,1.4836449623107912e-17,3.4918958845476826e-17,7.842444771121518e+37,1.845792040328794e+38
9092-3701,999.0,0.0,999.0,999.0,999.0
9092-3703,999.0,0.0,999.0,999.0,999.0
9092-3704,999.0,0.0,999.0,999.0,999.0
9092-6101,0.4594553902264512,6.96809619140625e-14,1.9801062679217463e-13,3.919638361600896e+41,1.1138337179335247e+42
9092-6102,0.21762798460418464,8.577057495117189e-15,1.4066325655213835e-14,2.7997626928178198e+40,4.591594939979562e+40
9092-6103,999.0,0.0,999.0,999.0,999.0
9092-6104,999.0,0.0,999.0,999.0,999.0
9092-9102,0.5371826989410299,5.0973287963867194e-15,1.7284204993461063e-14,1.293919875521652e+40,4.38746984292695e+40
9093-12701,999.0,0.0,999.0,999.0,999.0
9093-12702,0.12544435317732994,3.6502580566406256e-14,4.85469816829518e-14,3.981495180560341e+40,5.295230381035315e+40
9093-12703,999.0,0.0,999.0,999.0,999.0
9093-12704,0.24551868649890013,9.548125000000001e-15,1.6683768047996653e-14,4.988835170571962e+40,8.717163717013595e+40
9093-12705,0.36396159863147765,2.748399609375e-13,6.286121462056796e-13,7.07574858289612e+41,1.6183605497301032e+42
9093-1901,0.3766928292378291,1.5828674316406252e-16,3.7266250966962635e-16,3.444728746320821e+38,8.110099646212693e+38
9093-1902,0.13180593503353874,5.498642578125e-14,7.419494371816543e-14,6.280157275435767e+40,8.474017159178071e+40
9093-3701,999.0,0.0,999.0,999.0,999.0
9093-3702,0.28501291927270456,4.017854248046875e-14,7.679959540800936e-14,5.589411120837502e+40,1.0683924456891851e+41
9093-3703,999.0,0.0,999.0,999.0,999.0
9093-3704,999.0,0.0,999.0,999.0,999.0
9093-6101,999.0,0.0,999.0,999.0,999.0
9093-6102,0.4489785228509485,1.9386951904296878e-14,5.3794903235164186e-14,5.460669584355881e+40,1.515226288999672e+41
9093-6103,0.2714504850173087,5.5152255859375006e-14,1.0222078214161876e-13,3.472399109388481e+41,6.435844687379453e+41
9093-6104,0.20460605940307,1.910106201171875e-15,3.0411974409179646e-15,3.272884857690145e+39,5.2109610698713147e+39
9093-9101,999.0,0.0,999.0,999.0,999.0
9093-9102,0.17145028768655057,2.4346005859375003e-14,3.594872122685791e-14,3.1671874463580557e+40,4.676592096460318e+40
9094-12701,0.6223489129875096,3.764981079101563e-15,1.549336116804201e-14,1.8957043049623253e+40,7.801056857263708e+40
9094-12703,0.5614402656305327,3.1687450408935548e-16,1.135379705845466e-15,2.107782627155561e+39,7.552307264617366e+39
9094-12704,999.0,999.0,999.0,999.0,999.0
9094-12705,0.22897388620690548,6.150747680664063e-15,1.0350728853035626e-14,2.8706187738065795e+40,4.830794256365523e+40
9094-1901,999.0,0.0,999.0,999.0,999.0
9094-1902,999.0,0.0,999.0,999.0,999.0
9094-3701,0.27886646330582743,1.9786806640625003e-14,3.7296895384283575e-14,4.232725463999151e+41,7.978423284181998e+41
9094-3702,999.0,0.0,999.0,999.0,999.0
9094-3703,999.0,0.0,999.0,999.0,999.0
9094-3704,999.0,0.0,999.0,999.0,999.0
9094-6101,0.5845377378614117,2.848931884765625e-15,1.0758153103746996e-14,6.767435605770844e+39,2.5555229577775973e+40
9094-6102,999.0,0.0,999.0,999.0,999.0
9094-6103,999.0,999.0,999.0,999.0,999.0
9094-6104,0.4000337895835017,5.4437485351562506e-14,1.3514855685334355e-13,3.2787591443488874e+41,8.139971267349088e+41
9094-9102,999.0,0.0,999.0,999.0,999.0
9095-12701,0.4312333060687845,1.9687609863281253e-15,5.2469450311089e-15,3.853263622472079e+40,1.026933312773038e+41
9095-12702,999.0,0.0,999.0,999.0,999.0
9095-12703,0.3562347710183905,3.40313949584961e-16,7.64812041966648e-16,1.5948092313953584e+40,3.584129614135119e+40
9095-12704,0.37890567496857624,1.0772890625e-14,2.549106221226007e-14,3.086457970540961e+40,7.303248021473864e+40
9095-12705,0.25920844190943976,6.0992895507812506e-15,1.0994356746405956e-14,3.3866549631433896e+40,6.104660638223918e+40
9095-1901,0.45519836149847903,9.609280273437501e-14,2.704348663079034e-13,2.4255380828239115e+41,6.8262143312275525e+41
9095-1902,999.0,0.0,999.0,999.0,999.0
9095-3701,0.2614346661425972,3.7988825683593755e-14,6.88246753060552e-14,8.853095315534613e+40,1.6039227314372382e+41
9095-3702,999.0,0.0,999.0,999.0,999.0
9095-3703,999.0,0.0,999.0,999.0,999.0
9095-3704,999.0,0.0,999.0,999.0,999.0
9095-6101,0.43003038732481547,4.1219078063964846e-16,1.0955299934130269e-15,9.891829496178913e+38,2.6290728497068385e+39
9095-6102,0.4338074544275719,4.8230371093750006e-15,1.2929309227045611e-14,1.1704980667280395e+40,3.1378011637042977e+40
9095-6103,999.0,0.0,999.0,999.0,999.0
9095-6104,0.40805943315392473,1.0242830810546875e-14,2.5897406369492867e-14,4.960800593146552e+40,1.2542613585538493e+41
9095-9101,0.09931485485566266,2.3971040039062502e-14,3.0042114846429786e-14,8.725075044187895e+40,1.0934849138546706e+41
9095-9102,0.4203802020977592,5.90706103515625e-14,1.5359277740394053e-13,1.4654174661203075e+41,3.810313408615547e+41
9181-12701,999.0,0.0,999.0,999.0,999.0
9181-12703,999.0,0.0,999.0,999.0,999.0
9181-12704,999.0,0.0,999.0,999.0,999.0
9181-12705,0.7335144994071073,4.203938293457031e-15,2.2273160496454526e-14,7.506690268485985e+40,3.977168680315469e+41
9181-1901,999.0,0.0,999.0,999.0,999.0
9181-1902,0.2945345758800248,1.4213893127441407e-15,2.7763715088505116e-15,5.432106378303732e+39,1.0610425480582176e+40
9181-3701,0.3377126699291332,3.644949645996094e-15,7.853829715504931e-15,1.415865956990959e+40,3.0507884075716905e+40
9181-3702,999.0,0.0,999.0,999.0,999.0
9181-3703,0.18582761641163956,5.997560546875e-14,9.15005414298933e-14,5.47406276985022e+40,8.351390592021575e+40
9181-3704,999.0,0.0,999.0,999.0,999.0
9181-6101,0.321834784802965,4.715880966186523e-16,9.80117478502886e-16,8.579347031674176e+39,1.7830746874608729e+40
9181-6102,999.0,0.0,999.0,999.0,999.0
9181-6103,999.0,0.0,999.0,999.0,999.0
9181-6104,0.09207298380773447,1.565947723388672e-15,1.9305084609244544e-15,2.0062472554377864e+39,2.4733120036394754e+39
9181-9101,0.3094067512645338,8.604417724609375e-15,1.7384725235237355e-14,3.4635833013360045e+40,6.997968479710965e+40
9181-9102,0.34843326764742766,8.054850769042969e-16,1.7784056135451867e-15,2.9974253248268116e+39,6.617922760706667e+39
9182-12701,999.0,0.0,999.0,999.0,999.0
